zip_char,count,country,latitude,longitude
21209,1,USA,39.37258596,-76.6718861
43551,1,USA,41.5425747,-83.60750586
44102,1,USA,41.47601,-81.7388
48047,1,USA,42.67492554,-82.78175097
48103,64,USA,42.27611633,-83.79434842
48104,47,USA,42.27317,-83.71418
48105,20,USA,42.3245,-83.71428
48108,15,USA,42.22341,-83.72917
48111,1,USA,42.17526,-83.47532
48118,1,USA,42.3175,-84.02467
48130,5,USA,42.34916,-83.90404
48131,1,USA,41.95266,-83.66817
48158,1,USA,42.16163,-84.02147
48167,1,USA,42.44098,-83.52242
48170,1,USA,42.36352,-83.53664
48174,1,USA,42.20324,-83.39947
48176,3,USA,42.14439,-83.81735
48178,1,USA,42.4351,-83.65435
48187,1,USA,42.32829952,-83.47072995
48197,11,USA,42.22739781,-83.63979595
48198,5,USA,42.25107714,-83.5940126
48221,2,USA,42.43100511,-83.14250826
49221,1,USA,41.89354,-84.06128
49286,1,USA,42.01141,-83.91696